1,Adult,3,12/9/2021 10:01
2,Group of 5,5,12/9/2021 10:30
3,Child,3,12/9/2021 11:06
4,Group of 10,13,12/9/2021 13:54
5,Adult,3,12/9/2021 12:58
6,Group of 5,5,12/9/2021 15:54
7,Adult,3,12/10/2021 10:09
8,Group of 5,8,12/10/2021 14:54
9,Adult,4,12/10/2021 13:58
10,Group of 5,7,12/10/2021 11:25
11,Adult,2,12/10/2021 15:10
12,Group of 5,8,12/10/2021 12:15
13,Adult,3,12/10/2021 16:28
14,Group of 5,6,12/11/2021 11:04
15,Adult,3,12/11/2021 13:20
16,Group of 5,8,12/11/2021 12:33
17,Adult,3,12/11/2021 10:52
18,Group of 5,7,12/11/2021 14:44
19,Adult,3,12/11/2021 10:06
20,Group of 5,8,12/11/2021 15:24
21,Adult,3,12/11/2021 11:08
22,Group of 5,9,12/12/2021 11:10
23,Adult,3,12/12/2021 12:38
24,Group of 10,18,12/12/2021 13:29
25,Adult,3,12/12/2021 14:12
26,Group of 5,6,12/12/2021 15:55
27,Adult,3,12/12/2021 16:58
28,Group of 5,8,12/13/2021 10:24
29,Adult,1,12/13/2021 11:20
30,Group of 5,5,12/13/2021 11:54
31,Adult,2,12/13/2021 12:08
32,Group of 5,9,12/13/2021 13:54
33,Adult,3,12/13/2021 14:32
34,Group of 5,5,12/13/2021 15:02
35,Adult,3,12/13/2021 16:16
36,Group of 5,8,12/14/2021 10:12
37,Adult,3,12/14/2021 10:58
38,Group of 5,5,12/14/2021 13:04
39,Adult,4,12/14/2021 13:58
40,Group of 5,8,12/14/2021 14:34
41,Adult,2,12/14/2021 15:22
42,Group of 5,5,12/14/2021 15:59
43,Adult,3,12/15/2021 10:18
44,Group of 5,8,12/15/2021 11:44
45,Adult,3,12/15/2021 12:05
46,Group of 5,5,12/15/2021 13:35
47,Adult,2,12/15/2021 14:48
48,Group of 5,8,12/15/2021 15:05
49,Adult,3,12/16/2021 10:32
50,Group of 5,7,12/16/2021 11:54
51,Adult,3,12/16/2021 12:51
52,Group of 5,8,12/16/2021 13:11
53,Adult,2,12/16/2021 14:03
54,Group of 5,5,12/16/2021 15:43
55,Adult,1,12/16/2021 15:58
56,Group of 5,8,12/17/2021 10:14
57,Adult,3,12/17/2021 11:02
58,Group of 5,5,12/17/2021 11:54
59,Adult,3,12/17/2021 12:50
60,Group of 5,8,12/17/2021 13:04
61,Adult,2,12/17/2021 13:38
62,Group of 5,5,12/17/2021 14:31
63,Adult,3,12/17/2021 14:47
64,Group of 5,5,12/17/2021 15:27
65,Group of 25,27,12/18/2021 10:07
66,Group of 10,12,12/18/2021 11:12
67,Child,4,12/18/2021 12:07
68,Adult,2,12/18/2021 13:27
69,Group of 5,6,12/18/2021 14:10
70,Child,3,12/18/2021 15:17
71,Adult,1,12/19/2021 11:07
72,Child,2,12/19/2021 11:56
73,Group of 5,5,12/19/2021 12:00
74,Adult,2,12/19/2021 12:47
75,Child,3,12/19/2021 13:53
76,Group of 5,6,12/19/2021 14:15
77,Adult,3,12/19/2021 14:43
78,Child,4,12/20/2021 10:02
79,Group of 5,7,12/20/2021 11:22
80,Adult,3,12/20/2021 12:12
81,Child,1,12/20/2021 13:32
82,Group of 5,8,12/20/2021 13:55
83,Adult,3,12/20/2021 14:29
84,Child,2,12/20/2021 15:00
85,Group of 5,9,12/21/2021 11:09
86,Adult,3,12/21/2021 12:00
87,Child,3,12/21/2021 12:54
88,Group of 10,12,12/21/2021 13:18
89,Group of 5,5,12/21/2021 15:16
90,Adult,2,12/21/2021 16:10
91,Child,3,12/22/2021 10:37
92,Group of 5,6,12/22/2021 11:52
93,Group of 25,26,12/22/2021 13:12
94,Adult,2,12/22/2021 14:22
95,Child,4,12/22/2021 15:41
96,Group of 5,7,12/22/2021 16:05
97,Adult,3,12/23/2021 10:35
